Timestamp,Angle,Buzzer
114811,90,OFF
114932,85,OFF
115054,85,OFF
115175,81,OFF
115296,90,OFF
115418,85,OFF
115538,85,OFF
115659,81,OFF
115781,90,OFF
115902,90,OFF
116023,85,OFF
116145,85,OFF
116265,85,OFF
116387,85,OFF
116508,85,OFF
116629,90,OFF
116751,81,OFF
116872,90,OFF
116993,90,OFF
117114,90,OFF
117235,85,OFF
117357,90,OFF
117478,85,OFF
117599,85,OFF
117721,90,OFF
117841,90,OFF
117962,85,OFF
118084,85,OFF
118205,85,OFF
118327,85,OFF
118448,85,OFF
118568,90,OFF
118690,85,OFF
118811,90,OFF
118932,85,OFF
119054,85,OFF
119175,90,OFF
119297,85,OFF
119417,90,OFF
119538,85,OFF
119660,85,OFF
119781,85,OFF
119902,90,OFF
120024,85,OFF
120144,85,OFF
120265,90,OFF
120387,85,OFF
120508,85,OFF
120630,85,OFF
120751,90,OFF
120871,90,OFF
120993,90,OFF
121114,85,OFF
121235,85,OFF
121357,81,OFF
121478,90,OFF
121600,85,OFF
121720,90,OFF
121841,85,OFF
121963,90,OFF
122084,90,OFF
122205,90,OFF
122327,90,OFF
122447,85,OFF
122568,85,OFF
122690,85,OFF
122811,85,OFF
122933,85,OFF
123054,85,OFF
123174,85,OFF
123296,85,OFF
123417,90,OFF
123538,85,OFF
123660,85,OFF
123781,85,OFF
123902,85,OFF
124023,85,OFF
124144,85,OFF
124266,85,OFF
124387,85,OFF
124508,81,OFF
124630,85,OFF
124750,90,OFF
124871,90,OFF
124993,90,OFF
125114,90,OFF
125236,85,OFF
125357,85,OFF
125477,90,OFF
125599,81,OFF
125720,90,OFF
125841,90,OFF
125963,81,OFF
126084,90,OFF
126205,85,OFF
126326,85,OFF
126447,90,OFF
126569,85,OFF
126690,85,OFF
126811,85,OFF
126932,90,OFF
127053,85,OFF
127175,72,OFF
127296,85,OFF
127417,81,OFF
127539,85,OFF
127660,90,OFF
127780,85,OFF
127902,85,OFF
128023,85,OFF
128145,90,OFF
128266,90,OFF
128387,90,OFF
128508,85,OFF
128629,90,OFF
128750,85,OFF
128872,90,OFF
128993,90,OFF
129114,85,OFF
129235,85,OFF
129356,81,OFF
129478,85,OFF
129599,90,OFF
129720,85,OFF
129842,85,OFF
129963,85,OFF
130083,90,OFF
130205,90,OFF
130326,81,OFF
130448,85,OFF
130569,90,OFF
130690,85,OFF
130811,90,OFF
130932,85,OFF
131053,85,OFF
131175,85,OFF
131296,85,OFF
131417,90,OFF
131538,85,OFF
131659,90,OFF
131781,90,OFF
131902,85,OFF
132023,90,OFF
132145,85,OFF
132265,85,OFF
132386,90,OFF
132508,85,OFF
132629,85,OFF
132750,90,OFF
132872,85,OFF
132993,90,OFF
133114,81,OFF
133235,85,OFF
133356,85,OFF
133478,85,OFF
133599,90,OFF
133720,85,OFF
133841,85,OFF
133962,90,OFF
134084,85,OFF
134205,85,OFF
134326,85,OFF
134448,90,OFF
134568,85,OFF
134689,90,OFF
134811,90,OFF
134932,85,OFF
135054,85,OFF
135175,90,OFF
135296,90,OFF
135417,90,OFF
135538,85,OFF
135659,85,OFF
135781,85,OFF
135902,85,OFF
136024,85,OFF
136144,85,OFF
136265,85,OFF
136387,85,OFF
136508,90,OFF
136629,85,OFF
136751,85,OFF
136871,90,OFF
136993,85,OFF
137114,90,OFF
137235,85,OFF
137357,85,OFF
137478,85,OFF
137598,90,OFF
137720,85,OFF
137841,90,OFF
137963,85,OFF
138084,81,OFF
138205,85,OFF
138327,85,OFF
138447,85,OFF
138568,85,OFF
138690,85,OFF
138811,85,OFF
138933,85,OFF
139054,90,OFF
139174,81,OFF
139296,81,OFF
139417,85,OFF
139538,90,OFF
139660,85,OFF
139781,90,OFF
139902,90,OFF
140023,85,OFF
140144,90,OFF
140266,81,OFF
140387,85,OFF
140508,85,OFF
140630,85,OFF
140750,85,OFF
140872,90,OFF
140993,85,OFF
141114,85,OFF
141236,81,OFF
141357,85,OFF
141477,85,OFF
141599,90,OFF
141720,90,OFF
141842,85,OFF
141963,85,OFF
142084,85,OFF
142205,85,OFF
142326,90,OFF
142447,85,OFF
142569,90,OFF
142690,85,OFF
142811,90,OFF
142932,90,OFF
143053,85,OFF
143175,85,OFF
143296,90,OFF
143417,90,OFF
143539,90,OFF
143660,85,OFF
143780,81,OFF
143902,85,OFF
144023,85,OFF
144144,85,OFF
144266,85,OFF
144387,85,OFF
144508,85,OFF
144629,90,OFF
144750,85,OFF
144872,85,OFF
144993,81,OFF
145114,81,OFF
145235,85,OFF
145356,85,OFF
145478,90,OFF
145599,85,OFF
145720,85,OFF
145842,85,OFF
145963,85,OFF
146083,85,OFF
146205,90,OFF
146326,90,OFF
146448,90,OFF
146569,81,OFF
146690,90,OFF
146811,85,OFF
146932,85,OFF
147053,85,OFF
147175,85,OFF
147296,85,OFF
147418,81,OFF
147538,90,OFF
147659,85,OFF
147781,90,OFF
147902,81,OFF
148023,85,OFF
148145,90,OFF
148265,94,OFF
148386,90,OFF
148508,85,OFF
148629,90,OFF
148751,85,OFF
148872,81,OFF
148993,85,OFF
149114,85,OFF
149235,90,OFF
149356,90,OFF
149478,85,OFF
149599,81,OFF
149721,85,OFF
149841,90,OFF
149962,85,OFF
150084,85,OFF
150205,90,OFF
150326,85,OFF
150448,90,OFF
150568,85,OFF
150689,85,OFF
150811,90,OFF
150932,85,OFF
151054,85,OFF
151175,85,OFF
151296,85,OFF
151417,85,OFF
151538,85,OFF
151659,85,OFF
151781,85,OFF
151902,85,OFF
152023,90,OFF
152144,85,OFF
152265,81,OFF
152387,81,OFF
152508,85,OFF
152629,85,OFF
152751,85,OFF
152871,90,OFF
152992,90,OFF
153114,85,OFF
153235,85,OFF
153357,85,OFF
153478,81,OFF
153598,85,OFF
153720,85,OFF
153841,85,OFF
153963,85,OFF
154084,85,OFF
154205,85,OFF
